Year,Best_Time
1967,80.6
1968,80.5
1969,79.5
1970,79.2
1971,78.8
1972,78.5
1973,77.6
1974,77.23
1975,76.92
1976,75.7
1977,75.33
1978,74.99
1979,74.99
1980,73.6
1981,73.39
1982,72.61
1983,72.58
1984,72.58
1985,72.84
1986,72.52
1987,72.08
1988,72.05
1989,72.58
1990,72.36
1991,72.05
1992,72.58
1993,72.54
1994,72.37
1995,72.19
1996,71.67
1997,70.16
1998,69.6
1999,68.55
2000,68.35
2001,67.72
2002,67.18
2003,67.67
2004,67.82
2005,67.03
2006,67.28
2007,67
2008,67.06
2009,66.42
2010,66.9
2011,66.75
2012,66.77
2013,66.78
2014,67.02
2015,66.67
2016,66.49
2017,66.51
2018,66.83
2019,66.18
2020,65.69
2021,66.4
2022,66.28
2023,66.02
2024,65.37
